Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,-0.077588,0.0023746,-0.011224,0,0,0,5.82,0.059104,-0.0044668,0.00024807,0.089113,0.00079203,0.13455,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/Base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/Base_link.STL,,Frame-1;V2 Electronics Box-1;V2.5-S06-001A-Differential Bar Assembly-1;Individual RB Suspension-2;Individual LB Suspension-2;Suspension Connector-2;Individual RB Suspension-1;Suspension Connector-1;Individual LB Suspension-1,Centre_Link_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Camera_link,-0.00096131,-0.01914,0.012439,0,0,0,0.044752,2.7277E-05,2.4435E-07,-1.1748E-09,3.9447E-06,-2.8047E-09,2.7362E-05,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/Camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/Camera_link.STL,,IntelRealsense_D435_Multibody-1,Camera_CoordinateSystem,Axis_Camera_Joint,Camera_joint,continuous,0.41296,0,0,0,0,0,Base_link,0,1,0,,,,,,,,,,,,
FL_Rot_Link,-0.0021237,0.040788,-0.062966,0,0,0,0.48686,0.00055499,-5.8532E-09,-3.1728E-10,0.00077092,-4.198E-07,0.00057328,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FL_Rot_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FL_Rot_Link.STL,,Swerve structure-5,FL_Rot_CoordinateSystem,FL_Axis,FL_Rot_Joint,revolute,0.4891,0.30651,-0.1766,0,0,0,Base_link,0,0,1,0,0,0,0,,,,,,,,
FL_Link,2.6143E-06,-0.030977,-3.1583E-06,0,0,0,0.62031,0.002842,6.0035E-09,-2.5814E-07,0.0051144,3.5604E-09,0.0028421,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FL_Link.STL,,wheel-3,FL_CoordinateSystem,FL_Axis,FL_Joint,continuous,-0.0021234,0.03175,-0.16793,0,0,0,FL_Rot_Link,0,1,0,,,,,,,,,,,,
FR_Rot_Link,-0.0021231,-0.040788,-0.062966,0,0,0,0.48686,0.00055499,-5.8532E-09,3.1728E-10,0.00077092,4.198E-07,0.00057328,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FR_Rot_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FR_Rot_Link.STL,,Swerve structure-2,FR_Rot_CoordinateSystem,FR_Rot_Axis,FR_Rot_Joint,revolute,0.4891,-0.30651,-0.1766,0,0,0,Base_link,0,0,1,0,0,0,0,,,,,,,,
FR_Link,-3.783E-06,0.030977,1.5805E-06,0,0,0,0.62031,0.0028422,-1.6564E-09,-1.9161E-07,0.0051144,-6.7805E-09,0.0028418,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/FR_Link.STL,,wheel-2,FR_CoordinateSystem,FR_Axis,FR_Joint,continuous,-0.0021234,-0.03175,-0.16793,0,0,0,FR_Rot_Link,0,1,0,,,,,,,,,,,,
BR_Rot_Link,0.0021237,-0.040788,-0.062966,0,0,0,0.48686,0.00055499,-5.8532E-09,3.1728E-10,0.00077092,4.198E-07,0.00057328,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BR_Rot_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BR_Rot_Link.STL,,Swerve structure-1,BR_Rot_CoordinateSystem,BR_Rot_Axis,BR_Rot_Joint,revolute,-0.4891,-0.30651,-0.1766,0,0,0,Base_link,0,0,1,0,0,0,0,,,,,,,,
BR_Link,4.0754E-06,0.030977,-2.097E-07,0,0,0,0.62031,0.0028423,-7.4835E-10,-3.4303E-08,0.0051144,6.9063E-09,0.0028418,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BR_Link.STL,,wheel-1,BR_CoordinateSystem,BR_Axis,BR_Joint,continuous,0.0021234,-0.03175,-0.16793,0,0,0,BR_Rot_Link,0,1,0,,,,,,,,,,,,
BL_Rot_Link,0.0021231,0.040788,-0.062966,0,0,0,0.48686,0.00055499,-5.8532E-09,-3.1728E-10,0.00077092,-4.198E-07,0.00057328,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BL_Rot_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BL_Rot_Link.STL,,Swerve structure-4,BL_Rot_CoordinateSystem,BL_Rot_Axis,BL_Rot_Joint,revolute,-0.4891,0.30651,-0.1766,0,0,0,Base_link,0,0,1,0,0,0,0,,,,,,,,
BL_Link,7.6685E-07,-0.030977,-4.0081E-06,0,0,0,0.62031,0.0028418,6.9765E-09,-1.0326E-07,0.0051144,2.1758E-10,0.0028423,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PROPER_Simplified Rover.SLDASM/meshes/BL_Link.STL,,wheel-4,BL_CoordinateSystem,Axis_Camera_Joint,BL_Joint,continuous,0.0021234,0.03175,-0.16793,0,0,0,BL_Rot_Link,0,1,0,,,,,,,,,,,,
